,index,Features,Scores
182,182,184,0.0472872435382008
116,116,118,0.04509766922930386
168,168,170,0.042831692408085494
2,2,4,0.04085648951533342
136,136,138,0.03555771979520142
152,152,154,0.03511443831753895
167,167,169,0.034741530935353815
22,22,24,0.032432862016591256
181,181,183,0.03240447165914309
196,196,198,0.03223947593346369
1,1,3,0.030303041418513307
195,195,197,0.030066462177240436
151,151,153,0.02613436911183314
135,135,137,0.025036212733285212
76,76,78,0.02314328178244776
21,21,23,0.021742161273160723
40,40,42,0.02105960551588811
60,60,62,0.019965340024579604
96,96,98,0.016150772670026466
115,115,117,0.016005486712298515
95,95,97,0.014560560199140284
75,75,77,0.013661051163137202
170,170,172,0.012826576707194066
183,183,185,0.012778313894430312
184,184,186,0.012383090776159955
154,154,156,0.012293955147402938
169,169,171,0.011799549484422103
4,4,6,0.011300901415395309
153,153,155,0.011132122454105105
39,39,41,0.01066979549265483
118,118,120,0.009820540219842322
138,138,140,0.009511728181296692
137,137,139,0.009338255839165694
3,3,5,0.00893760294863759
197,197,199,0.008873454479322902
198,198,200,0.008715389876730229
180,180,182,0.008511002183283633
59,59,61,0.00827171979417547
0,0,2,0.008170755030152058
24,24,26,0.00811922594036772
23,23,25,0.008048095545013604
117,117,119,0.00780115054860989
166,166,168,0.007800013253287542
20,20,22,0.007387767592707719
150,150,152,0.007353480466409897
194,194,196,0.007154721867965307
94,94,96,0.0061522119768163686
38,38,40,0.005900933589212841
58,58,60,0.0052820466339684805
134,134,136,0.005032236676185506
114,114,116,0.004838036222778055
78,78,80,0.004705982017089007
62,62,64,0.0046503840155378276
97,97,99,0.004609932793225391
77,77,79,0.004377452580512242
98,98,100,0.004099397245610862
61,61,63,0.0037342781287779195
145,145,147,0.0037241743130033028
42,42,44,0.0036332055570644606
41,41,43,0.003601372440911193
128,128,130,0.0031538213564498885
125,125,127,0.0028965621145401405
74,74,76,0.0028421473495974336
33,33,35,0.0024741854931858154
205,205,207,0.0019002879493935758
69,69,71,0.0018145157331095534
11,11,13,0.0018021591301609387
31,31,33,0.0017878313677732632
35,35,37,0.0017155632042387126
16,16,18,0.0016447432099128856
17,17,19,0.0015535647714715014
49,49,51,0.0015522619133507497
146,146,148,0.001514438962149786
15,15,17,0.0014847639054559217
111,111,113,0.001410407771843783
34,34,36,0.0013532698211639231
109,109,111,0.001343153799764413
105,105,107,0.0011785455163591915
190,190,192,0.0011488190535849094
174,174,176,0.0011244742816336468
161,161,163,0.00110723495757674
84,84,86,0.0010840719957366585
53,53,55,0.0010370461543027538
48,48,50,0.0010286765295170017
188,188,190,0.0009544725303715483
162,162,164,0.0009429761474889506
191,191,193,0.0009008683861386657
160,160,162,0.0008503470611583203
202,202,204,0.000846533062065946
85,85,87,0.0008124584763840844
124,124,126,0.0008089588013604113
10,10,12,0.000802311656527202
55,55,57,0.0008016142761598009
104,104,106,0.0007764578355566243
32,32,34,0.0007547503429776285
14,14,16,0.0006801732629859981
130,130,132,0.0006688570194688237
9,9,11,0.0006614962866259832
204,204,206,0.0006379370288633282
176,176,178,0.0006145363277584822
144,144,146,0.0006011470465877944
158,158,160,0.0005830143810259834
30,30,32,0.0005386365098588398
131,131,133,0.0005059531568025414
164,164,166,0.0004982979431083937
148,148,150,0.0004828365141862671
142,142,144,0.00045533144032906505
189,189,191,0.0004438709871140912
159,159,161,0.0004366085227530115
106,106,108,0.00043055157339610685
28,28,30,0.0004177531933248592
29,29,31,0.0004070046060911823
175,175,177,0.0003783756593093668
13,13,15,0.00036070942055220034
143,143,145,0.00035338340110787096
177,177,179,0.00032565833270722846
73,73,75,0.000321684527009077
107,107,109,0.00032009900706302325
91,91,93,0.00031765633445398337
110,110,112,0.00030186791906853237
5,5,7,0.0002937966092823987
103,103,105,0.00028369141944579253
12,12,14,0.00028184576902881304
108,108,110,0.0002707450126527106
123,123,125,0.00024675908431260056
25,25,27,0.0002355051174308565
149,149,151,0.00023024698780927796
129,129,131,0.00022835424160478723
89,89,91,0.00022796601750943107
102,102,104,0.00021545066526371467
203,203,205,0.00021454756240209862
139,139,141,0.00020901983359844595
147,147,149,0.0002037491323290661
171,171,173,0.00020063111132235362
86,86,88,0.0002006106819713867
199,199,201,0.00019930159718662647
113,113,115,0.00018864297226853452
119,119,121,0.0001820720188138594
155,155,157,0.00018157993343247204
185,185,187,0.0001802966071287939
88,88,90,0.00017934792312074437
79,79,81,0.0001502894031672376
90,90,92,0.00014470864630084163
47,47,49,0.000143096121243202
37,37,39,0.00014055372173787286
83,83,85,0.00013737199952067248
72,72,74,0.0001313968612335908
71,71,73,0.00012728335967323006
210,210,212,0.00012270053599345326
99,99,101,0.00012256561124745645
126,126,128,0.00012053236963568396
206,206,208,0.0001158729099240938
63,63,65,9.646326176588385e-05
54,54,56,9.162859352782305e-05
122,122,124,8.819617273814286e-05
68,68,70,8.716007057445756e-05
52,52,54,8.548233553611893e-05
36,36,38,8.485884408371683e-05
43,43,45,8.322116988759971e-05
163,163,165,8.055242622370977e-05
173,173,175,7.856743454368174e-05
70,70,72,7.458457771418113e-05
133,133,135,7.439693417149081e-05
19,19,21,7.234736675049085e-05
178,178,180,7.028740804932389e-05
200,200,202,7.000097790898408e-05
186,186,188,6.99517823965979e-05
18,18,20,6.87182957789175e-05
165,165,167,6.794853840304104e-05
50,50,52,6.713355879405916e-05
157,157,159,6.587319701394312e-05
101,101,103,6.547732087498218e-05
179,179,181,6.4803683349106e-05
7,7,9,6.194033059391704e-05
192,192,194,6.0962544535695686e-05
8,8,10,6.0874619457551674e-05
156,156,158,5.952022159590554e-05
112,112,114,5.5364350102867074e-05
208,208,210,5.5116182800366484e-05
65,65,67,5.510566098394204e-05
92,92,94,5.346712926814176e-05
46,46,48,5.1210855000396416e-05
141,141,143,5.116313602318441e-05
209,209,211,5.0371363369721766e-05
6,6,8,4.990175656837461e-05
127,127,129,4.933096513473011e-05
56,56,58,4.907141589558266e-05
26,26,28,4.848713884305127e-05
140,140,142,4.8464258165104314e-05
80,80,82,4.179673240036454e-05
27,27,29,4.008471859035691e-05
207,207,209,3.997425335412571e-05
100,100,102,3.9037686064372236e-05
57,57,59,3.752701978642368e-05
51,51,53,3.736508389427888e-05
87,87,89,3.6642291736874614e-05
201,201,203,3.620606489081107e-05
187,187,189,3.598270462167162e-05
64,64,66,3.493707055017407e-05
132,132,134,3.389252009922902e-05
193,193,195,3.205337696521003e-05
211,211,213,3.190070990863849e-05
45,45,47,3.1551035059699444e-05
120,120,122,3.081136021318945e-05
172,172,174,2.972977913537162e-05
121,121,123,2.9362821934917142e-05
93,93,95,2.8903454698086828e-05
44,44,46,2.78589436005436e-05
81,81,83,2.71011012868757e-05
82,82,84,2.5881433816549708e-05
67,67,69,1.9662432427991932e-05
66,66,68,1.2672909739837292e-05
